Overal_Rank,City,State_id,Lat,Lng,Emo_Rank,Income_Rank,Comm_Rank
1,Fremont,CA,37.5265,-121.9852,4,28,5
2,Plano,TX,33.0502,-96.7487,6,9,16
3,San Jose,CA,37.3021,-121.8489,1,11,64
4,Irvine,CA,33.6772,-117.7738,7,13,19
5,Madison,WI,43.0827,-89.3923,5,21,13
6,Sioux Falls,SD,43.5397,-96.7321,13,45,21
7,Huntington Beach,CA,33.696,-118.0025,8,70,44
8,Scottsdale,AZ,33.6872,-111.8651,51,7,2
9,Santa Rosa,CA,38.4458,-122.7067,10,34,32
10,Pearl City,HI,21.4031,-157.9566,3,128,12
11,Bismarck,ND,46.81399999999999,-100.7695,18,15,31
12,Fargo,ND,46.8653,-96.8292,26,32,30
13,Lincoln,NE,40.8088,-96.6796,24,68,24
14,San Francisco,CA,37.7562,-122.443,2,2,158
15,Overland Park,KS,38.887,-94.68700000000001,35,48,8
16,Santa Clarita,CA,34.4155,-118.4992,17,127,29
17,Oceanside,CA,33.2247,-117.3083,15,117,15
18,Glendale,CA,34.1818,-118.2468,22,98,26
19,Anaheim,CA,33.839,-117.8573,23,65,43
20,Cape Coral,FL,26.6445,-81.9955,52,63,3
21,Pembroke Pines,FL,26.0128,-80.3382,28,134,10
22,Austin,TX,30.3006,-97.7517,12,6,118
23,Gilbert,AZ,33.3103,-111.7463,56,36,11
24,San Diego,CA,32.8312,-117.1225,9,26,73
25,Chula Vista,CA,32.6281,-117.0145,19,99,34
26,Garden Grove,CA,33.7787,-117.9601,31,101,33
27,Grand Prairie,TX,32.687,-97.0209,46,74,23
28,Charleston,SC,32.8151,-79.96300000000001,80,3,4
29,Cedar Rapids,IA,41.9667,-91.6781,54,38,18
30,Minneapolis,MN,44.9635,-93.2678,14,47,112
31,Raleigh,NC,35.8324,-78.6438,25,59,62
32,Aurora,CO,39.7084,-104.7274,32,124,48
33,Chandler,AZ,33.2827,-111.8517,63,42,20
34,Des Moines,IA,41.5725,-93.6105,47,66,46
35,Irving,TX,32.8584,-96.9702,37,17,106
36,Columbia,MD,39.2004,-76.859,20,106,98
37,Oxnard,CA,34.1962,-119.1819,45,137,9
38,Peoria,AZ,33.7844,-112.29899999999999,69,67,6
39,Oakland,CA,37.7903,-122.2165,11,79,132
40,St. Paul,MN,44.9477,-93.104,38,96,60
