Ranking,Total_Score,Relative_Score,City,State_id,Lat,Lng,Emotional,Income,Environment,year
1,77.55,0.970709726,Fremont,CA,37.5265,-121.9852,2,1,1,2017
2,75.79,0.948679434,San Jose,CA,37.3021,-121.8489,1,3,15,2017
3,70.99,0.888596821,Irvine,CA,33.6772,-117.7738,5,9,6,2017
4,69.2,0.866191013,San Francisco,CA,37.7562,-122.443,3,2,101,2017
5,67.63,0.846538991,Sioux Falls,SD,43.5397,-96.7321,10,21,3,2017
6,67.32,0.842658656,Huntington Beach,CA,33.696,-118.0025,6,11,45,2017
7,65.8,0.823632495,San Diego,CA,32.8312,-117.1225,8,7,40,2017
8,65.52,0.820127676,Oakland,CA,37.7903,-122.2165,4,34,119,2017
9,65.29,0.817248717,Santa Rosa,CA,38.4458,-122.7067,20,15,23,2017
10,65.14,0.815371135,Washington,DC,38.9047,-77.0163,13,6,65,2017
11,64.82,0.811365628,Chula Vista,CA,32.6281,-117.0145,15,27,17,2017
12,64.79,0.810990111,Santa Clarita,CA,34.4155,-118.4992,17,29,29,2017
13,64.61,0.808737013,Scottsdale,AZ,33.6872,-111.8651,34,12,2,2017
14,64.35,0.805482538,Garden Grove,CA,33.7787,-117.9601,11,45,43,2017
15,64.28,0.804606334,Madison,WI,43.0827,-89.3923,28,13,22,2017
16,63.87,0.799474277,Gilbert,AZ,33.3103,-111.7463,37,4,9,2017
17,63.86,0.799349105,Overland Park,KS,38.887,-94.687,32,17,20,2017
18,63.48,0.794592565,Anaheim,CA,33.839,-117.8573,14,37,62,2017
19,63.43,0.793966704,Plano,TX,33.0502,-96.7487,30,14,41,2017
20,63.43,0.793966704,Glendale,CA,34.1818,-118.2468,16,70,27,2017
21,63.16,0.790587057,Seattle,WA,47.6211,-122.3244,25,5,76,2017
22,63.01,0.788709476,Austin,TX,30.3006,-97.7517,12,33,74,2017
23,62.88,0.787082238,Raleigh,NC,35.8324,-78.6438,7,46,81,2017
24,62.59,0.783452247,Minneapolis,MN,44.9635,-93.2678,9,20,125,2017
25,62.43,0.781449493,St. Paul,MN,44.9477,-93.104,19,38,80,2017
26,61.95,0.775441232,Lincoln,NE,40.8088,-96.6796,31,48,37,2017
27,61.83,0.773939166,Oceanside,CA,33.2247,-117.3083,18,80,36,2017
28,61.68,0.772061585,Chandler,AZ,33.2827,-111.8517,39,10,39,2017
29,61.41,0.768681938,Aurora,CO,39.7084,-104.7274,22,52,63,2017
30,60.86,0.761797472,Peoria,AZ,33.7844,-112.299,49,22,8,2017
31,60.56,0.758042308,Oxnard,CA,34.1962,-119.1819,33,77,13,2017
32,60.35,0.755413694,Honolulu,HI,21.3294,-157.846,29,19,108,2017
33,60.23,0.753911628,Boise,ID,43.6007,-116.2312,48,16,30,2017
34,60.22,0.753786456,Grand Prairie,TX,32.687,-97.0209,57,36,4,2017
35,59.94,0.750281637,Aurora,IL,41.7637,-88.2901,42,62,10,2017
36,59.91,0.749906121,Los Angeles,CA,34.1139,-118.4068,24,49,97,2017
37,59.25,0.741644762,Denver,CO,39.7621,-104.8759,27,79,86,2017
38,59.12,0.740017524,Tempe,AZ,33.3881,-111.9318,44,24,68,2017
39,59.05,0.739141319,Durham,NC,35.9795,-78.9032,26,50,106,2017
40,59.05,0.739141319,Long Beach,CA,33.798,-118.1675,21,95,110,2017
41,59.05,0.739141319,Charlotte,NC,35.2079,-80.8304,45,96,7,2017
42,58.72,0.73501064,El Paso,TX,31.8479,-106.4309,35,75,53,2017
43,58.69,0.734635123,Rancho Cucamonga,CA,34.1248,-117.5666,69,8,51,2017
44,58.65,0.734134435,Cape Coral,FL,26.6445,-81.9955,43,63,28,2017
45,58.42,0.731255476,Santa Ana,CA,33.7366,-117.8819,23,72,129,2017
46,58.41,0.731130304,Colorado Springs,CO,38.8674,-104.7606,65,41,16,2017
47,57.93,0.725122043,Garland,TX,32.91,-96.6305,41,60,67,2017
48,57.9,0.724746526,Des Moines,IA,41.5725,-93.6105,36,91,72,2017
49,57.43,0.718863437,Salt Lake City,UT,40.7774,-111.93,46,69,48,2017
50,57.33,0.717611716,Irving,TX,32.8584,-96.9702,50,31,93,2017
51,57.27,0.716860683,Omaha,NE,41.2628,-96.0498,47,57,70,2017
52,57.25,0.716610339,Yonkers,NY,40.9466,-73.8674,38,55,123,2017
53,57.12,0.714983102,Mesa,AZ,33.4017,-111.7181,52,47,71,2017
54,57.06,0.714232069,Fort Worth,TX,32.7812,-97.3472,61,88,25,2017
55,56.93,0.712604832,Boston,MA,42.3188,-71.0846,40,25,126,2017
56,56.9,0.712229315,Grand Rapids,MI,42.9615,-85.6557,74,39,31,2017
57,56.79,0.710852422,Orlando,FL,28.4772,-81.3369,54,86,44,2017
58,56.32,0.704969333,Virginia Beach,VA,36.7335,-76.0435,67,81,33,2017
59,56.11,0.702340718,Portland,OR,45.5371,-122.65,81,18,66,2017
60,56.1,0.702215546,Port St. Lucie,FL,27.2796,-80.3884,73,98,11,2017
61,56.08,0.701965202,Anchorage,AK,61.1508,-149.1091,55,53,107,2017
62,56.03,0.701339342,Fontana,CA,34.0968,-117.4599,89,30,24,2017
63,55.83,0.698835899,Reno,NV,39.5497,-119.8483,68,40,78,2017
64,55.78,0.698210039,Riverside,CA,33.9381,-117.3948,87,23,60,2017
65,55.58,0.695706597,Pembroke Pines,FL,26.0128,-80.3382,71,68,57,2017
66,55.33,0.692577294,Chesapeake,VA,36.6778,-76.3024,90,78,12,2017
67,55.17,0.69057454,Jersey City,NJ,40.7161,-74.0683,62,61,112,2017
68,54.96,0.687945926,Henderson,NV,36.0146,-115.0362,102,35,26,2017
69,54.95,0.687820754,Arlington,TX,32.6998,-97.1251,56,101,87,2017
70,54.66,0.684190762,New York,NY,40.6943,-73.9249,66,83,89,2017
71,54.63,0.683815246,Nashville,TN,36.1715,-86.7843,85,99,19,2017
72,54.55,0.682813869,San Antonio,TX,29.4658,-98.5254,79,71,54,2017
73,54.33,0.680060083,Greensboro,NC,36.0956,-79.8268,78,87,50,2017
74,54.29,0.679559394,Huntsville,AL,34.6988,-86.6412,94,89,18,2017
75,54.14,0.677681812,Tacoma,WA,47.2431,-122.4531,75,53,114,2017
76,53.97,0.675553887,Tallahassee,FL,30.4551,-84.2527,86,73,55,2017
77,53.93,0.675053198,Glendale,AZ,33.5797,-112.2258,59,106,109,2017
78,53.9,0.674677682,Sacramento,CA,38.5667,-121.4683,64,51,128,2017
79,53.66,0.671673551,Laredo,TX,27.5617,-99.4874,63,116,58,2017
80,53.52,0.669921142,Kansas City,MO,39.1239,-94.5541,82,65,79,2017
81,53.32,0.667417699,Lubbock,TX,33.5642,-101.8871,101,32,83,2017
82,53.03,0.663787708,Moreno Valley,CA,33.9244,-117.2045,95,85,46,2017
83,52.97,0.663036675,Atlanta,GA,33.7627,-84.4225,51,114,122,2017
84,52.7,0.659657028,Tucson,AZ,32.1545,-110.8782,72,110,75,2017
85,52.67,0.659281512,Phoenix,AZ,33.5722,-112.0891,60,115,118,2017
86,52.62,0.658655652,Dallas,TX,32.7936,-96.7662,53,103,135,2017
87,52.57,0.658029791,Chicago,IL,41.8373,-87.6862,58,120,116,2017
88,52.57,0.658029791,Ontario,CA,34.0393,-117.6064,92,64,103,2017
89,52.27,0.654274628,Vancouver,WA,45.6367,-122.597,99,42,85,2017
91,52.11,0.652271874,Oklahoma City,OK,35.4676,-97.5137,114,74,14,2017
92,51.95,0.65026912,Albuquerque,NM,35.1053,-106.6464,100,108,32,2017
93,51.77,0.648016022,Winston-Salem,NC,36.1029,-80.261,83,112,73,2017
94,51.69,0.647014645,Wichita,KS,37.6897,-97.3441,91,90,117,2017
